"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Triveni Engineering & Industries Ltd","Consumer Defensive","920828506.5","960974000","0.22","2787855","","","/mutual-fund/holding-history/10906/1419/"
"JK Lakshmi Cement Ltd","Basic Materials","989596968.6","956111000","0.22","1063054","","","/mutual-fund/holding-history/10906/685/"
"Seamec Ltd","Industrials","1076228829.25","953316000","0.22","911479","911479","New","/mutual-fund/holding-history/10906/1198/"
"Kaynes Technology India Ltd","Industrials","1045772547.95","948442000","0.22","363311","","","/mutual-fund/holding-history/10906/1124672/"
"Can Fin Homes Ltd","Financial Services","919238861","927769000","0.21","1193042","","","/mutual-fund/holding-history/10906/234/"
"Rainbow Childrens Medicare Ltd","Healthcare","930823667","912505000","0.21","764851","","","/mutual-fund/holding-history/10906/877862/"
"Archean Chemical Industries Ltd","Basic Materials","853688656.8","892280000","0.2","1373373","","","/mutual-fund/holding-history/10906/1121044/"
"Nazara Technologies Ltd","Communication Services","947579061.45","891585000","0.2","1040781","","","/mutual-fund/holding-history/10906/447585/"
"JK Tyre & Industries Ltd","Consumer Cyclical","1090108673.85","865870000","0.2","2173913","2173913","New","/mutual-fund/holding-history/10906/687/"
"Kirloskar Ferrous Industries Ltd","Industrials","903210699.9","849035000","0.19","1532554","","","/mutual-fund/holding-history/10906/2056/"
"Tata Coffee Ltd","Consumer Defensive","910053052","846708000","0.19","2639365","","","/mutual-fund/holding-history/10906/1356/"
"Venus Pipes & Tubes Ltd","Basic Materials","855810000","840330000","0.19","600000","","","/mutual-fund/holding-history/10906/877861/"
"Rishabh Instruments Ltd","Technology","783928622.5","784939000","0.18","1346725","","","/mutual-fund/holding-history/10906/1650515/"
"KEC International Ltd","Industrials","799175414.6","764468000","0.17","1297468","","","/mutual-fund/holding-history/10906/727/"
"Indian Renewable Energy Development Agency Ltd","Financial Services","1193880780","722797000","0.16","7031100","-1669155","-19.19","/mutual-fund/holding-history/10906/1791996/"
"Indian Bank","Financial Services","783253524.2","715743000","0.16","1700507","1700507","New","/mutual-fund/holding-history/10906/609/"
"La Opala RG Ltd","Consumer Cyclical","682675753.5","699427000","0.16","1882205","","","/mutual-fund/holding-history/10906/784/"
