Invested In,Sector,Market Value Latest Price,"Value as of <br> 31 Dec, 2023",% of Total Holding,Quantity,Month Change <br> in Shares,Month Change <br> in Shares %,History ,fundname
Anupam Rasayan India Ltd,Basic Materials,1130057389.5,1232635000,0.95,1171651,41651.0,3.69,/mutual-fund/holding-history/6125/445360/,Quant Small Cap Dir Gr
Sequent Scientific Ltd,Healthcare,1455425982.5,1227240000,0.94,10788925,1602328.0,17.44,/mutual-fund/holding-history/6125/1984/,Quant Small Cap Dir Gr
JM Financial Ltd,Financial Services,1357302857.4,1176569000,0.9,11969161,,,/mutual-fund/holding-history/6125/689/,Quant Small Cap Dir Gr
Balrampur Chini Mills Ltd,Consumer Defensive,1075230750.0,1138178000,0.88,2773000,2773000.0,New,/mutual-fund/holding-history/6125/157/,Quant Small Cap Dir Gr
Rishabh Instruments Ltd,Technology,1104263491.4,1105686000,0.85,1897034,551902.0,41.03,/mutual-fund/holding-history/6125/1650515/,Quant Small Cap Dir Gr
Vishnu Prakash R Punglia Ltd,Industrials,1086475985.95,1098686000,0.85,5087689,5087689.0,New,/mutual-fund/holding-history/6125/1636180/,Quant Small Cap Dir Gr
Orchid Pharma Ltd,Healthcare,1094320501.05,1093630000,0.84,1534919,,,/mutual-fund/holding-history/6125/980/,Quant Small Cap Dir Gr
TVS Srichakra Ltd,Consumer Cyclical,1076835996.6,1074366000,0.83,237471,10000.0,4.4,/mutual-fund/holding-history/6125/1431/,Quant Small Cap Dir Gr
E I D Parry India Ltd,Basic Materials,1148729553.6,1037172000,0.8,1862402,203000.0,12.23,/mutual-fund/holding-history/6125/361/,Quant Small Cap Dir Gr
Piramal Pharma Ltd,Healthcare,1016067981.6,987962000,0.76,7115322,-3100000.0,-30.35,/mutual-fund/holding-history/6125/1093348/,Quant Small Cap Dir Gr
Granules India Ltd,Healthcare,1007704694.8,986417000,0.76,2432894,,,/mutual-fund/holding-history/6125/488/,Quant Small Cap Dir Gr
RITES Ltd Ordinary Shares,Industrials,1209331497.0,887285000,0.68,1766092,114000.0,6.9,/mutual-fund/holding-history/6125/92280/,Quant Small Cap Dir Gr
Nitin Spinners Ltd,Consumer Cyclical,948984927.45,882634000,0.68,2730499,,,/mutual-fund/holding-history/6125/948/,Quant Small Cap Dir Gr
Archean Chemical Industries Ltd,Basic Materials,772469779.2,807390000,0.62,1242712,-308704.0,-19.9,/mutual-fund/holding-history/6125/1121044/,Quant Small Cap Dir Gr
The Orissa Minerals Development Co Ltd,Basic Materials,687672074.7,759471000,0.58,107059,,,/mutual-fund/holding-history/6125/990/,Quant Small Cap Dir Gr
Garware Hi-Tech Films Ltd,Basic Materials,888644031.0,754019000,0.58,537855,,,/mutual-fund/holding-history/6125/2089/,Quant Small Cap Dir Gr
Jash Engineering Ltd Ordinary Shares,Industrials,723441151.65,645811000,0.5,412817,,,/mutual-fund/holding-history/6125/87787/,Quant Small Cap Dir Gr
Neogen Chemicals Ltd,Basic Materials,600702927.3,632835000,0.49,427577,,,/mutual-fund/holding-history/6125/141845/,Quant Small Cap Dir Gr
Aster DM Healthcare Ltd Ordinary Shares,Healthcare,658824028.4,627000000,0.48,1530014,553866.0,56.74,/mutual-fund/holding-history/6125/77534/,Quant Small Cap Dir Gr
Latent View Analytics Ltd,Industrials,620541500.0,623419000,0.48,1370000,620000.0,82.67,/mutual-fund/holding-history/6125/717540/,Quant Small Cap Dir Gr
Neuland Laboratories Limited,,709849814.2,616178000,0.47,116449,,,/mutual-fund/holding-history/6125/933/,Quant Small Cap Dir Gr
Engineers India Ltd,Industrials,784162553.35,578132000,0.44,3372017,622017.0,22.62,/mutual-fund/holding-history/6125/380/,Quant Small Cap Dir Gr
Sandur Manganese And Iron Ores Ltd,Basic Materials,588623031.0,534188000,0.41,183870,183870.0,New,/mutual-fund/holding-history/6125/2200/,Quant Small Cap Dir Gr
Himadri Speciality Chemical Ltd,Basic Materials,628849000.0,523055000,0.4,1690000,1690000.0,New,/mutual-fund/holding-history/6125/529/,Quant Small Cap Dir Gr
Metropolis Healthcare Ltd,Healthcare,459284278.2,494497000,0.38,294668,-65000.0,-18.07,/mutual-fund/holding-history/6125/139598/,Quant Small Cap Dir Gr
Bharat Heavy Electricals Ltd,Industrials,549750000.0,483875000,0.37,2500000,2500000.0,New,/mutual-fund/holding-history/6125/189/,Quant Small Cap Dir Gr
Indiabulls Real Estate Ltd,Real Estate,541925000.0,461895000,0.36,5300000,5300000.0,New,/mutual-fund/holding-history/6125/580/,Quant Small Cap Dir Gr
India Shelter Finance Corporation Ltd,Financial Services,456690337.3,450902000,0.35,792934,792934.0,New,/mutual-fund/holding-history/6125/1826519/,Quant Small Cap Dir Gr
Network 18 Media & Investments Ltd,Communication Services,614805000.0,445485000,0.34,5100000,5100000.0,New,/mutual-fund/holding-history/6125/932/,Quant Small Cap Dir Gr
PIX Transmissions Ltd,Industrials,432217318.65,442803000,0.34,342581,71907.0,26.57,/mutual-fund/holding-history/6125/2072/,Quant Small Cap Dir Gr
BLS International Services Ltd,Industrials,523743000.0,429593000,0.33,1345000,1345000.0,New,/mutual-fund/holding-history/6125/4751/,Quant Small Cap Dir Gr
Best Agrolife Ltd,Basic Materials,391825000.0,420450000,0.32,500000,,,/mutual-fund/holding-history/6125/4331/,Quant Small Cap Dir Gr
NCC Ltd,Industrials,438457071.0,375901000,0.29,2254278,,,/mutual-fund/holding-history/6125/918/,Quant Small Cap Dir Gr
KSB Ltd,Industrials,360192268.2,361700000,0.28,104334,,,/mutual-fund/holding-history/6125/768/,Quant Small Cap Dir Gr
HP Adhesives Ltd,Basic Materials,375554565.75,342252000,0.26,3415685,,,/mutual-fund/holding-history/6125/752901/,Quant Small Cap Dir Gr
Vardhman Textiles Ltd,Consumer Cyclical,331536750.0,322435000,0.25,835000,,,/mutual-fund/holding-history/6125/1504/,Quant Small Cap Dir Gr
Sai Silks (Kalamandir) Ltd,Consumer Cyclical,269610000.0,302500000,0.23,1100000,1100000.0,New,/mutual-fund/holding-history/6125/1698176/,Quant Small Cap Dir Gr
EPL Ltd Ordinary Shares,Consumer Cyclical,292269684.0,297726000,0.23,1474620,,,/mutual-fund/holding-history/6125/393/,Quant Small Cap Dir Gr
MMTC Ltd,Industrials,302550957.3,240273000,0.18,4017941,3017941.0,301.79,/mutual-fund/holding-history/6125/869/,Quant Small Cap Dir Gr
Confidence Petroleum India Ltd,Energy,223889100.0,234214000,0.18,2614000,,,/mutual-fund/holding-history/6125/3203/,Quant Small Cap Dir Gr
Primo Chemicals Ltd,Basic Materials,214587340.58,228714000,0.18,4556962,,,/mutual-fund/holding-history/6125/2300/,Quant Small Cap Dir Gr
Oriental Hotels Ltd,Consumer Cyclical,220196644.8,221923000,0.17,1816804,1816804.0,New,/mutual-fund/holding-history/6125/986/,Quant Small Cap Dir Gr
KNR Constructions Ltd,Industrials,205078058.0,199857000,0.15,779320,779320.0,New,/mutual-fund/holding-history/6125/752/,Quant Small Cap Dir Gr
Taj GVK Hotels & Resorts Ltd,Consumer Cyclical,216164829.9,189564000,0.15,828694,,,/mutual-fund/holding-history/6125/1345/,Quant Small Cap Dir Gr
Indian Hume Pipe Company Limited,,189948260.15,186679000,0.14,769177,,,/mutual-fund/holding-history/6125/611/,Quant Small Cap Dir Gr
Sun Pharma Advanced Research Co Ltd,Healthcare,221812235.25,170895000,0.13,595869,,,/mutual-fund/holding-history/6125/1271/,Quant Small Cap Dir Gr
IndiaMART InterMESH Ltd,Communication Services,146952000.0,163314000,0.13,60000,60000.0,New,/mutual-fund/holding-history/6125/149049/,Quant Small Cap Dir Gr
Bharat Rasayan Ltd,Basic Materials,146721048.3,144630000,0.11,16063,,,/mutual-fund/holding-history/6125/186/,Quant Small Cap Dir Gr
NACL Industries Ltd,Basic Materials,141425651.35,140757000,0.11,1909867,,,/mutual-fund/holding-history/6125/3071/,Quant Small Cap Dir Gr
Vimta Labs Ltd,Healthcare,141172995.2,133233000,0.1,330152,,,/mutual-fund/holding-history/6125/1484/,Quant Small Cap Dir Gr
FDC Ltd,Healthcare,115809823.75,110037000,0.08,277555,,,/mutual-fund/holding-history/6125/410/,Quant Small Cap Dir Gr
Nahar Spinning Mills Ltd,Consumer Cyclical,62413916.9,58582000,0.05,206566,,,/mutual-fund/holding-history/6125/906/,Quant Small Cap Dir Gr
Birlasoft Ltd,Technology,8971166989.5,7905481160,4.25,10963846,,,/mutual-fund/holding-history/17696/763/,Axis Small Cap Fund Dir Gr
Narayana Hrudayalaya Ltd,Healthcare,7940320956.7,7564293230,4.06,6293351,-347816.0,-5.24,/mutual-fund/holding-history/17696/1886/,Axis Small Cap Fund Dir Gr
Brigade Enterprises Ltd,Real Estate,7740952857.7,7120056900,3.82,7939846,,,/mutual-fund/holding-history/17696/219/,Axis Small Cap Fund Dir Gr
Cholamandalam Financial Holdings Ltd,Financial Services,5881896545.5,5553759870,2.98,5339897,,,/mutual-fund/holding-history/17696/1424/,Axis Small Cap Fund Dir Gr
Blue Star Ltd,Industrials,5405509885.6,4827440460,2.59,5097614,,,/mutual-fund/holding-history/17696/209/,Axis Small Cap Fund Dir Gr
Krishna Institute of Medical Sciences Ltd,Healthcare,5036376489.75,4805590620,2.58,2428047,,,/mutual-fund/holding-history/17696/555690/,Axis Small Cap Fund Dir Gr
Galaxy Surfactants Ltd,Basic Materials,4624763875.8,4736620300,2.54,1706429,,,/mutual-fund/holding-history/17696/74800/,Axis Small Cap Fund Dir Gr
CCL Products (India) Ltd,Consumer Defensive,4643896159.0,4657280190,2.5,7234610,,,/mutual-fund/holding-history/17696/243/,Axis Small Cap Fund Dir Gr
J.B. Chemicals & Pharmaceuticals Ltd,Healthcare,4536040665.5,4346492760,2.33,2675341,467866.0,21.19,/mutual-fund/holding-history/17696/665/,Axis Small Cap Fund Dir Gr
JK Lakshmi Cement Ltd,Basic Materials,4464522858.9,4313451350,2.32,4795921,,,/mutual-fund/holding-history/17696/685/,Axis Small Cap Fund Dir Gr
Fine Organic Industries Ltd Ordinary Shares,Basic Materials,4042402881.0,4308028200,2.31,865370,,,/mutual-fund/holding-history/17696/92286/,Axis Small Cap Fund Dir Gr
Can Fin Homes Ltd,Financial Services,4040338654.0,4077831740,2.19,5243788,,,/mutual-fund/holding-history/17696/234/,Axis Small Cap Fund Dir Gr
Nifty 50 Index January 2024 Future,,,3654953650,1.96,167000,167000.0,New,,Axis Small Cap Fund Dir Gr
RHI Magnesita India Ltd,Industrials,3177556848.9,3547137520,1.91,4405014,,,/mutual-fund/holding-history/17696/989/,Axis Small Cap Fund Dir Gr
Persistent Systems Ltd,Technology,3850169685.0,3395547530,1.82,459516,,,/mutual-fund/holding-history/17696/1023/,Axis Small Cap Fund Dir Gr
CIE Automotive India Ltd,Consumer Cyclical,3468115529.4,3363086070,1.81,7144861,-5204.0,-0.07,/mutual-fund/holding-history/17696/816/,Axis Small Cap Fund Dir Gr
Kaynes Technology India Ltd,Industrials,3459810546.5,3137802780,1.69,1201970,80000.0,7.13,/mutual-fund/holding-history/17696/1124672/,Axis Small Cap Fund Dir Gr
Ahluwalia Contracts (India) Ltd,Industrials,3182182810.2,3048903840,1.64,3931533,,,/mutual-fund/holding-history/17696/43/,Axis Small Cap Fund Dir Gr
CreditAccess Grameen Ltd Ordinary Shares,Financial Services,2913621055.6,2923049950,1.57,1830854,,,/mutual-fund/holding-history/17696/100478/,Axis Small Cap Fund Dir Gr
Chemplast Sanmar Ltd,Basic Materials,2740661769.65,2897734700,1.56,5796049,,,/mutual-fund/holding-history/17696/623875/,Axis Small Cap Fund Dir Gr
Tata Motors Ltd,Consumer Cyclical,2945195332.3,2829469850,1.52,3627758,,,/mutual-fund/holding-history/17696/1362/,Axis Small Cap Fund Dir Gr
Craftsman Automation Ltd,Consumer Cyclical,2436631167.0,2773854970,1.49,513083,,,/mutual-fund/holding-history/17696/445359/,Axis Small Cap Fund Dir Gr
KPIT Technologies Ltd,Technology,2526331961.7,2701958840,1.45,1784826,,,/mutual-fund/holding-history/17696/141324/,Axis Small Cap Fund Dir Gr
Grindwell Norton Ltd,Industrials,2699219734.9,2641159810,1.42,1133983,,,/mutual-fund/holding-history/17696/496/,Axis Small Cap Fund Dir Gr
City Union Bank Ltd,Financial Services,2488548759.6,2626018170,1.41,17624283,,,/mutual-fund/holding-history/17696/295/,Axis Small Cap Fund Dir Gr
Phoenix Mills Ltd,Real Estate,2656538073.6,2596898440,1.4,1156928,,,/mutual-fund/holding-history/17696/1036/,Axis Small Cap Fund Dir Gr
Vesuvius India Ltd,Industrials,2412860638.4,2479129050,1.33,690296,,,/mutual-fund/holding-history/17696/1475/,Axis Small Cap Fund Dir Gr
Rolex Rings Ltd,Industrials,2341780143.65,2476139340,1.33,982517,50000.0,5.36,/mutual-fund/holding-history/17696/612873/,Axis Small Cap Fund Dir Gr
Coforge Ltd,Technology,2416203034.65,2443207440,1.31,389393,,,/mutual-fund/holding-history/17696/942/,Axis Small Cap Fund Dir Gr
MTAR Technologies Ltd,Industrials,2261470966.65,2366659400,1.27,1071711,,,/mutual-fund/holding-history/17696/436155/,Axis Small Cap Fund Dir Gr
Minda Corp Ltd,Consumer Cyclical,2355018871.4,2228383240,1.2,5769277,,,/mutual-fund/holding-history/17696/863/,Axis Small Cap Fund Dir Gr
