Invested In,Sector,Market Value Latest Price,"Value as of <br> 31 Dec, 2023",% of Total Holding,Quantity,Month Change <br> in Shares,Month Change <br> in Shares %,History ,fundname
Zaggle Prepaid Ocean Services Ltd,Technology,17369362.0,17879000,0.92,80228,,,/mutual-fund/holding-history/134856/1690561/,LIC MF Small Cap Fund Dir Gr
Birla Corp Ltd,Basic Materials,16376636.1,16912000,0.87,11737,,,/mutual-fund/holding-history/134856/198/,LIC MF Small Cap Fund Dir Gr
GMM Pfaudler Ltd,Industrials,15938593.75,16723000,0.86,10375,,,/mutual-fund/holding-history/134856/2213/,LIC MF Small Cap Fund Dir Gr
Ador Welding Ltd,Industrials,17279654.8,16674000,0.86,11023,11023.0,New,/mutual-fund/holding-history/134856/31/,LIC MF Small Cap Fund Dir Gr
Protean eGov Technologies Ltd,Technology,15971272.2,15163000,0.78,12636,,,/mutual-fund/holding-history/134856/1776577/,LIC MF Small Cap Fund Dir Gr
Cera Sanitaryware Ltd,Industrials,14793637.95,14180000,0.73,1807,-1193.0,-39.77,/mutual-fund/holding-history/134856/254/,LIC MF Small Cap Fund Dir Gr
Bajaj Consumer Care Ltd,Consumer Defensive,13800255.75,13982000,0.72,63669,,,/mutual-fund/holding-history/134856/145/,LIC MF Small Cap Fund Dir Gr
S.P. Apparels Ltd,Consumer Cyclical,12333958.85,12425000,0.64,20473,,,/mutual-fund/holding-history/134856/4656/,LIC MF Small Cap Fund Dir Gr
Bikaji Foods International Ltd,Consumer Defensive,11383044.4,10834000,0.56,19838,,,/mutual-fund/holding-history/134856/1110875/,LIC MF Small Cap Fund Dir Gr
Shoppers Stop Ltd,Consumer Cyclical,10238715.0,10035000,0.52,14523,,,/mutual-fund/holding-history/134856/1225/,LIC MF Small Cap Fund Dir Gr
Azad Engineering Ltd,Industrials,9226742.9,9444000,0.49,13646,13646.0,New,/mutual-fund/holding-history/134856/1840438/,LIC MF Small Cap Fund Dir Gr
INOX India Ltd,Industrials,8880854.4,9183000,0.47,10404,10404.0,New,/mutual-fund/holding-history/134856/1830843/,LIC MF Small Cap Fund Dir Gr
Bajel Projects Ltd,Utilities,3834290.25,2836000,0.15,21355,21355.0,New,/mutual-fund/holding-history/134856/1845603/,LIC MF Small Cap Fund Dir Gr
Sudarshan Chemical Industries Ltd,Basic Materials,473085.0,494000,0.03,900,900.0,New,/mutual-fund/holding-history/134856/1304/,LIC MF Small Cap Fund Dir Gr
Brigade Enterprises Ltd,Real Estate,907837366.85,835020000,2.31,931163,-161954.0,-14.82,/mutual-fund/holding-history/356902/219/,UTI Small Cap Dir Gr
Karur Vysya Bank Ltd,Financial Services,872079782.0,817167000,2.26,4838168,,,/mutual-fund/holding-history/356902/721/,UTI Small Cap Dir Gr
360 One Wam Ltd Ordinary Shares,Financial Services,676197667.8,761661000,2.11,1072989,,,/mutual-fund/holding-history/356902/166089/,UTI Small Cap Dir Gr
Chalet Hotels Ltd,Consumer Cyclical,795204934.7,726894000,2.01,1043713,-150000.0,-12.57,/mutual-fund/holding-history/356902/127257/,UTI Small Cap Dir Gr
Cera Sanitaryware Ltd,Industrials,707442082.2,678101000,1.88,86412,12500.0,16.91,/mutual-fund/holding-history/356902/254/,UTI Small Cap Dir Gr
Techno Electric & Engineering Co Ltd,Industrials,674100000.0,671874000,1.86,840000,,,/mutual-fund/holding-history/356902/118204/,UTI Small Cap Dir Gr
Cholamandalam Financial Holdings Ltd,Financial Services,705308074.0,665961000,1.85,640316,,,/mutual-fund/holding-history/356902/1424/,UTI Small Cap Dir Gr
Carborundum Universal Ltd,Industrials,680782179.0,659402000,1.83,592242,,,/mutual-fund/holding-history/356902/238/,UTI Small Cap Dir Gr
KPIT Technologies Ltd,Technology,615720750.0,658525000,1.83,435000,,,/mutual-fund/holding-history/356902/141324/,UTI Small Cap Dir Gr
Suven Pharmaceuticals Ltd,Healthcare,567693052.8,602008000,1.67,832883,,,/mutual-fund/holding-history/356902/191143/,UTI Small Cap Dir Gr
Timken India Ltd,Industrials,607389493.7,598564000,1.66,184063,,,/mutual-fund/holding-history/356902/1399/,UTI Small Cap Dir Gr
Multi Commodity Exchange of India Ltd,Financial Services,593397484.2,589483000,1.63,184222,,,/mutual-fund/holding-history/356902/853/,UTI Small Cap Dir Gr
Coforge Ltd,Technology,577069650.0,583519000,1.62,93000,,,/mutual-fund/holding-history/356902/942/,UTI Small Cap Dir Gr
Krishna Institute of Medical Sciences Ltd,Healthcare,601696365.75,574124000,1.59,290079,,,/mutual-fund/holding-history/356902/555690/,UTI Small Cap Dir Gr
Persistent Systems Ltd,Technology,649353125.0,572679000,1.59,77500,,,/mutual-fund/holding-history/356902/1023/,UTI Small Cap Dir Gr
Firstsource Solutions Ltd,Technology,581198851.6,551512000,1.53,2983567,,,/mutual-fund/holding-history/356902/428/,UTI Small Cap Dir Gr
Computer Age Management Services Ltd Ordinary Shares,Technology,559788702.4,540268000,1.5,203767,36000.0,21.46,/mutual-fund/holding-history/356902/297909/,UTI Small Cap Dir Gr
IndiaMART InterMESH Ltd,Communication Services,484757910.0,538732000,1.49,197925,7500.0,3.94,/mutual-fund/holding-history/356902/149049/,UTI Small Cap Dir Gr
Can Fin Homes Ltd,Financial Services,533651382.0,538604000,1.49,692604,-36210.0,-4.97,/mutual-fund/holding-history/356902/234/,UTI Small Cap Dir Gr
City Union Bank Ltd,Financial Services,498997834.8,526563000,1.46,3533979,,,/mutual-fund/holding-history/356902/295/,UTI Small Cap Dir Gr
CreditAccess Grameen Ltd Ordinary Shares,Financial Services,524334472.0,526031000,1.46,329480,-90667.0,-21.58,/mutual-fund/holding-history/356902/100478/,UTI Small Cap Dir Gr
J.B. Chemicals & Pharmaceuticals Ltd,Healthcare,539501318.0,516957000,1.43,318196,,,/mutual-fund/holding-history/356902/665/,UTI Small Cap Dir Gr
Greenpanel Industries Ltd Ordinary Shares,Basic Materials,469365038.4,507146000,1.41,1184368,,,/mutual-fund/holding-history/356902/170350/,UTI Small Cap Dir Gr
Ratnamani Metals & Tubes Ltd,Basic Materials,471728124.9,497832000,1.38,148021,,,/mutual-fund/holding-history/356902/1114/,UTI Small Cap Dir Gr
Equitas Small Finance Bank Ltd Ordinary Shares,Financial Services,497438928.8,493695000,1.37,4679576,,,/mutual-fund/holding-history/356902/325199/,UTI Small Cap Dir Gr
Affle India Ltd,Communication Services,459529969.8,492102000,1.36,376772,619.0,0.16,/mutual-fund/holding-history/356902/154217/,UTI Small Cap Dir Gr
TeamLease Services Ltd,Industrials,454347832.05,479333000,1.33,149883,,,/mutual-fund/holding-history/356902/1955/,UTI Small Cap Dir Gr
MTAR Technologies Ltd,Industrials,451413838.75,472411000,1.31,213925,-12000.0,-5.31,/mutual-fund/holding-history/356902/436155/,UTI Small Cap Dir Gr
CIE Automotive India Ltd,Consumer Cyclical,480031476.0,465494000,1.29,988940,,,/mutual-fund/holding-history/356902/816/,UTI Small Cap Dir Gr
Route Mobile Ltd Ordinary Shares,Communication Services,455157223.5,461816000,1.28,288897,,,/mutual-fund/holding-history/356902/290299/,UTI Small Cap Dir Gr
Praj Industries Ltd,Industrials,423492333.0,460336000,1.28,827942,,,/mutual-fund/holding-history/356902/1061/,UTI Small Cap Dir Gr
eClerx Services Ltd,Technology,461549362.65,458322000,1.27,176849,,,/mutual-fund/holding-history/356902/356/,UTI Small Cap Dir Gr
Subros Ltd,Consumer Cyclical,558781563.45,437949000,1.21,808247,,,/mutual-fund/holding-history/356902/1302/,UTI Small Cap Dir Gr
Metro Brands Ltd,Consumer Cyclical,404938140.3,436615000,1.21,343197,-30271.0,-8.11,/mutual-fund/holding-history/356902/750564/,UTI Small Cap Dir Gr
Eris Lifesciences Ltd Registered Shs,Healthcare,421926913.0,431699000,1.2,474395,,,/mutual-fund/holding-history/356902/54899/,UTI Small Cap Dir Gr
TD Power Systems Ltd,Industrials,435358982.2,417152000,1.16,1604123,50000.0,3.22,/mutual-fund/holding-history/356902/1373/,UTI Small Cap Dir Gr
Sheela Foam Ltd,Consumer Cyclical,379882975.0,414139000,1.15,333875,,,/mutual-fund/holding-history/356902/4957/,UTI Small Cap Dir Gr
Avanti Feeds Ltd,Consumer Defensive,487155104.1,403489000,1.12,960574,86625.0,9.91,/mutual-fund/holding-history/356902/138/,UTI Small Cap Dir Gr
Vardhman Textiles Ltd,Consumer Cyclical,413775334.2,402416000,1.12,1042124,,,/mutual-fund/holding-history/356902/1504/,UTI Small Cap Dir Gr
JK Cement Ltd,Basic Materials,427801244.85,388875000,1.08,102653,,,/mutual-fund/holding-history/356902/683/,UTI Small Cap Dir Gr
RHI Magnesita India Ltd,Industrials,343182262.5,383098000,1.06,475750,,,/mutual-fund/holding-history/356902/989/,UTI Small Cap Dir Gr
Prince Pipes And Fittings Ltd Ordinary Shares,Industrials,354442465.2,381982000,1.06,514281,,,/mutual-fund/holding-history/356902/177142/,UTI Small Cap Dir Gr
Tube Investments of India Ltd Ordinary Shares,Industrials,429094052.1,381078000,1.06,107599,,,/mutual-fund/holding-history/356902/67548/,UTI Small Cap Dir Gr
Dr. Lal PathLabs Ltd,Healthcare,351589232.5,377543000,1.05,146465,,,/mutual-fund/holding-history/356902/1877/,UTI Small Cap Dir Gr
APL Apollo Tubes Ltd,Basic Materials,364283223.5,375763000,1.04,244510,-55000.0,-18.36,/mutual-fund/holding-history/356902/91/,UTI Small Cap Dir Gr
Titagarh Rail Systems Ltd,Industrials,392894070.4,368426000,1.02,353068,353068.0,New,/mutual-fund/holding-history/356902/1434/,UTI Small Cap Dir Gr
Metropolis Healthcare Ltd,Healthcare,341091848.7,367243000,1.02,218838,,,/mutual-fund/holding-history/356902/139598/,UTI Small Cap Dir Gr
Ami Organics Ltd,Basic Materials,352287760.3,363782000,1.01,324226,70000.0,27.53,/mutual-fund/holding-history/356902/644637/,UTI Small Cap Dir Gr
ISGEC Heavy Engineering Ltd,Industrials,382472042.4,363297000,1.01,370182,,,/mutual-fund/holding-history/356902/3892/,UTI Small Cap Dir Gr
Navin Fluorine International Ltd,Basic Materials,311033116.35,358336000,0.99,92997,,,/mutual-fund/holding-history/356902/914/,UTI Small Cap Dir Gr
Raymond Ltd,Consumer Cyclical,354027682.8,348138000,0.96,202036,202036.0,New,/mutual-fund/holding-history/356902/1115/,UTI Small Cap Dir Gr
Narayana Hrudayalaya Ltd,Healthcare,365389581.7,348086000,0.96,289601,,,/mutual-fund/holding-history/356902/1886/,UTI Small Cap Dir Gr
Asahi India Glass Ltd,Consumer Cyclical,342985857.75,347231000,0.96,602205,,,/mutual-fund/holding-history/356902/107/,UTI Small Cap Dir Gr
La Opala RG Ltd,Consumer Cyclical,336913843.5,345181000,0.96,928905,,,/mutual-fund/holding-history/356902/784/,UTI Small Cap Dir Gr
Ashoka Buildcon Ltd,Industrials,400194295.9,344207000,0.95,2471861,,,/mutual-fund/holding-history/356902/113/,UTI Small Cap Dir Gr
Rossari Biotech Ltd Ordinary Shares,Basic Materials,316711466.25,325426000,0.9,407215,,,/mutual-fund/holding-history/356902/243466/,UTI Small Cap Dir Gr
V-Mart Retail Ltd,Consumer Cyclical,335386551.5,324258000,0.9,161749,,,/mutual-fund/holding-history/356902/1498/,UTI Small Cap Dir Gr
Birlasoft Ltd,Technology,366666825.75,323110000,0.9,448111,,,/mutual-fund/holding-history/356902/763/,UTI Small Cap Dir Gr
VIP Industries Ltd,Consumer Cyclical,299703330.0,322735000,0.89,540006,,,/mutual-fund/holding-history/356902/1488/,UTI Small Cap Dir Gr
Nesco Ltd,Industrials,301354766.25,321554000,0.89,364285,,,/mutual-fund/holding-history/356902/929/,UTI Small Cap Dir Gr
Indoco Remedies Ltd,Healthcare,294934188.75,320082000,0.89,809925,,,/mutual-fund/holding-history/356902/614/,UTI Small Cap Dir Gr
Orchid Pharma Ltd,Healthcare,317262750.0,317063000,0.88,445000,,,/mutual-fund/holding-history/356902/980/,UTI Small Cap Dir Gr
Grindwell Norton Ltd,Industrials,312616700.5,305892000,0.85,131335,,,/mutual-fund/holding-history/356902/496/,UTI Small Cap Dir Gr
Mahindra Logistics Ltd,Industrials,317128392.0,283929000,0.79,732060,200000.0,37.59,/mutual-fund/holding-history/356902/65007/,UTI Small Cap Dir Gr
DCB Bank Ltd,Financial Services,284640793.25,279590000,0.77,2104553,,,/mutual-fund/holding-history/356902/311/,UTI Small Cap Dir Gr
Arman Financial Services Ltd,Financial Services,259880734.5,270853000,0.75,111110,111110.0,New,/mutual-fund/holding-history/356902/3489/,UTI Small Cap Dir Gr
Jamna Auto Industries Ltd,Consumer Cyclical,264281901.45,266068000,0.74,2381991,,,/mutual-fund/holding-history/356902/660/,UTI Small Cap Dir Gr
Hawkins Cookers Ltd,Consumer Cyclical,252372202.5,262181000,0.73,34550,,,/mutual-fund/holding-history/356902/2364/,UTI Small Cap Dir Gr
Coromandel International Ltd,Basic Materials,235396500.0,260969000,0.72,208500,,,/mutual-fund/holding-history/356902/284/,UTI Small Cap Dir Gr
Dixon Technologies (India) Ltd,Technology,228634172.15,255361000,0.71,38887,,,/mutual-fund/holding-history/356902/60393/,UTI Small Cap Dir Gr
KFin Technologies Ltd,Technology,280893382.6,250925000,0.7,519836,,,/mutual-fund/holding-history/356902/1253626/,UTI Small Cap Dir Gr
Kewal Kiran Clothing Ltd,Consumer Cyclical,243499899.3,247408000,0.69,322987,82598.0,34.36,/mutual-fund/holding-history/356902/749/,UTI Small Cap Dir Gr
Sai Silks (Kalamandir) Ltd,Consumer Cyclical,215162260.5,241410000,0.67,877855,,,/mutual-fund/holding-history/356902/1698176/,UTI Small Cap Dir Gr
Kajaria Ceramics Ltd,Industrials,248147959.2,241163000,0.67,185268,-50000.0,-21.25,/mutual-fund/holding-history/356902/709/,UTI Small Cap Dir Gr
Fine Organic Industries Ltd Ordinary Shares,Basic Materials,218074969.2,232405000,0.64,46684,,,/mutual-fund/holding-history/356902/92286/,UTI Small Cap Dir Gr
Aarti Industries Ltd,Basic Materials,225995776.4,231520000,0.64,356404,,,/mutual-fund/holding-history/356902/14/,UTI Small Cap Dir Gr
India Shelter Finance Corporation Ltd,Financial Services,233804598.7,230841000,0.64,405946,405946.0,New,/mutual-fund/holding-history/356902/1826519/,UTI Small Cap Dir Gr
Concord Biotech Ltd,Healthcare,213797608.4,227016000,0.63,154244,,,/mutual-fund/holding-history/356902/1587026/,UTI Small Cap Dir Gr
Borosil Renewables Ltd Ordinary Shares,Consumer Cyclical,311525000.0,219950000,0.61,500000,,,/mutual-fund/holding-history/356902/2118/,UTI Small Cap Dir Gr
Whirlpool of India Ltd,Consumer Cyclical,203608200.0,211315000,0.59,154600,,,/mutual-fund/holding-history/356902/1521/,UTI Small Cap Dir Gr
TCI Express Ltd,Industrials,196925241.25,203844000,0.56,148315,,,/mutual-fund/holding-history/356902/52914/,UTI Small Cap Dir Gr
GMM Pfaudler Ltd,Industrials,169844727.5,178208000,0.49,110558,,,/mutual-fund/holding-history/356902/2213/,UTI Small Cap Dir Gr
Johnson Controls - Hitachi Air Conditioning India Ltd,Consumer Cyclical,175669736.0,169930000,0.47,152240,,,/mutual-fund/holding-history/356902/563/,UTI Small Cap Dir Gr
INOX India Ltd,Industrials,65532579.2,67759000,0.19,76772,76772.0,New,/mutual-fund/holding-history/356902/1830843/,UTI Small Cap Dir Gr
Equitas Small Finance Bank Ltd Ordinary Shares,Financial Services,8464243.8,8401000,2.47,79626,6038.0,8.21,/mutual-fund/holding-history/1754074/325199/,Quantum Small Cap Dir Gr
CSB Bank Ltd Ordinary Shares,Financial Services,7279312.6,8144000,2.4,19453,3479.0,21.78,/mutual-fund/holding-history/1754074/174482/,Quantum Small Cap Dir Gr
TeamLease Services Ltd,Industrials,7451058.3,7861000,2.32,2458,220.0,9.83,/mutual-fund/holding-history/1754074/1955/,Quantum Small Cap Dir Gr
Karur Vysya Bank Ltd,Financial Services,8162621.25,7649000,2.25,45285,7849.0,20.97,/mutual-fund/holding-history/1754074/721/,Quantum Small Cap Dir Gr
Birlasoft Ltd,Technology,8252869.5,7273000,2.14,10086,,,/mutual-fund/holding-history/1754074/763/,Quantum Small Cap Dir Gr
Godrej Industries Ltd,Industrials,8239397.5,7255000,2.14,9745,9745.0,New,/mutual-fund/holding-history/1754074/477/,Quantum Small Cap Dir Gr
Nuvoco Vista Corp Ltd,Basic Materials,6462682.2,7116000,2.1,18603,3156.0,20.43,/mutual-fund/holding-history/1754074/622855/,Quantum Small Cap Dir Gr
Gujarat State Petronet Ltd,Utilities,8377957.7,7099000,2.09,23198,2181.0,10.38,/mutual-fund/holding-history/1754074/502/,Quantum Small Cap Dir Gr
Crompton Greaves Consumer Electricals Ltd,Consumer Cyclical,6725929.5,6854000,2.02,22045,,,/mutual-fund/holding-history/1754074/2020/,Quantum Small Cap Dir Gr
Cyient Ltd,Industrials,6024615.95,6840000,2.02,2983,1225.0,69.68,/mutual-fund/holding-history/1754074/301/,Quantum Small Cap Dir Gr
Genus Power Infrastructures Ltd,Industrials,7304029.05,6720000,1.98,28967,12599.0,76.97,/mutual-fund/holding-history/1754074/449/,Quantum Small Cap Dir Gr
PVR INOX Ltd,Communication Services,5878762.5,6686000,1.97,4030,1618.0,67.08,/mutual-fund/holding-history/1754074/1087/,Quantum Small Cap Dir Gr
Ujjivan Financial Services Limited,,6515413.2,6684000,1.97,11829,1579.0,15.4,/mutual-fund/holding-history/1754074/2014/,Quantum Small Cap Dir Gr
UTI Asset Management Co Ltd,Financial Services,6613618.8,6674000,1.97,7701,2765.0,56.02,/mutual-fund/holding-history/1754074/305194/,Quantum Small Cap Dir Gr
Eris Lifesciences Ltd Registered Shs,Healthcare,6483726.0,6634000,1.95,7290,7290.0,New,/mutual-fund/holding-history/1754074/54899/,Quantum Small Cap Dir Gr
IDFC Ltd,Financial Services,6073992.0,6632000,1.95,52362,7646.0,17.1,/mutual-fund/holding-history/1754074/590/,Quantum Small Cap Dir Gr
CMS Info Systems Ltd,Industrials,6727054.5,6608000,1.95,17271,4130.0,31.43,/mutual-fund/holding-history/1754074/755507/,Quantum Small Cap Dir Gr
Craftsman Automation Ltd,Consumer Cyclical,5770035.0,6569000,1.94,1215,1215.0,New,/mutual-fund/holding-history/1754074/445359/,Quantum Small Cap Dir Gr
Mastek Ltd,Technology,6327047.0,6486000,1.91,2302,231.0,11.15,/mutual-fund/holding-history/1754074/843/,Quantum Small Cap Dir Gr
Indian Renewable Energy Development Agency Ltd,Financial Services,10569540.6,6399000,1.89,62247,41699.0,202.93,/mutual-fund/holding-history/1754074/1791996/,Quantum Small Cap Dir Gr
Can Fin Homes Ltd,Financial Services,6333510.0,6392000,1.88,8220,1491.0,22.16,/mutual-fund/holding-history/1754074/234/,Quantum Small Cap Dir Gr
CCL Products (India) Ltd,Consumer Defensive,6371499.4,6390000,1.88,9926,4512.0,83.34,/mutual-fund/holding-history/1754074/243/,Quantum Small Cap Dir Gr
Computer Age Management Services Ltd Ordinary Shares,Technology,6574049.6,6345000,1.87,2393,2393.0,New,/mutual-fund/holding-history/1754074/297909/,Quantum Small Cap Dir Gr
EPL Ltd Ordinary Shares,Consumer Cyclical,6138254.0,6253000,1.84,30970,30970.0,New,/mutual-fund/holding-history/1754074/393/,Quantum Small Cap Dir Gr
TD Power Systems Ltd,Industrials,6396898.0,6129000,1.81,23570,23570.0,New,/mutual-fund/holding-history/1754074/1373/,Quantum Small Cap Dir Gr
Sansera Engineering Ltd,Industrials,6140601.6,6091000,1.79,5978,,,/mutual-fund/holding-history/1754074/658068/,Quantum Small Cap Dir Gr
Lumax Industries Ltd,Consumer Cyclical,6020268.75,6078000,1.79,2451,2451.0,New,/mutual-fund/holding-history/1754074/802/,Quantum Small Cap Dir Gr
MPS Ltd,Communication Services,5425507.2,6073000,1.79,3576,2313.0,183.14,/mutual-fund/holding-history/1754074/882/,Quantum Small Cap Dir Gr
Mayur Uniquoters Ltd,Consumer Cyclical,5140455.15,5301000,1.56,9407,9407.0,New,/mutual-fund/holding-history/1754074/847/,Quantum Small Cap Dir Gr
Kirloskar Pneumatic Co Ltd,Industrials,5531074.0,5287000,1.56,8776,8776.0,New,/mutual-fund/holding-history/1754074/2214/,Quantum Small Cap Dir Gr
HDFC Bank Ltd,Financial Services,4118163.0,4906000,1.45,2870,2870.0,New,/mutual-fund/holding-history/1754074/533/,Quantum Small Cap Dir Gr
Mahindra Logistics Ltd,Industrials,5369080.8,4807000,1.42,12394,12394.0,New,/mutual-fund/holding-history/1754074/65007/,Quantum Small Cap Dir Gr
Lemon Tree Hotels Ltd,Consumer Cyclical,5494156.5,4754000,1.4,39669,39669.0,New,/mutual-fund/holding-history/1754074/81513/,Quantum Small Cap Dir Gr
Exide Industries Ltd,Consumer Cyclical,4405507.2,4511000,1.33,14193,14193.0,New,/mutual-fund/holding-history/1754074/404/,Quantum Small Cap Dir Gr
Carysil Ltd,Consumer Cyclical,4552484.4,4321000,1.27,5256,,,/mutual-fund/holding-history/1754074/3001/,Quantum Small Cap Dir Gr
V-Guard Industries Ltd,Industrials,3857552.5,3844000,1.13,13150,13150.0,New,/mutual-fund/holding-history/1754074/1476/,Quantum Small Cap Dir Gr
Fusion Micro Finance Ltd,Financial Services,3862968.4,3552000,1.05,6163,6163.0,New,/mutual-fund/holding-history/1754074/755078/,Quantum Small Cap Dir Gr
Narayana Hrudayalaya Ltd,Healthcare,3546638.7,3379000,1.0,2811,2811.0,New,/mutual-fund/holding-history/1754074/1886/,Quantum Small Cap Dir Gr
Krishna Institute of Medical Sciences Ltd,Healthcare,3422512.5,3266000,0.96,1650,1650.0,New,/mutual-fund/holding-history/1754074/555690/,Quantum Small Cap Dir Gr
InterGlobe Aviation Ltd,Industrials,1614760.2,1673000,0.49,564,564.0,New,/mutual-fund/holding-history/1754074/1784/,Quantum Small Cap Dir Gr
Infosys Ltd,Technology,1807635.3,1671000,0.49,1083,1083.0,New,/mutual-fund/holding-history/1754074/630/,Quantum Small Cap Dir Gr
Multi Commodity Exchange of India Ltd,Financial Services,944655218.1,938423209,3.12,293271,-36982.0,-11.2,/mutual-fund/holding-history/7993/853/,Sundaram Small Cap Dir Gr
Suven Pharmaceuticals Ltd,Healthcare,866798899.2,919193434,3.06,1271712,-129822.0,-9.26,/mutual-fund/holding-history/7993/191143/,Sundaram Small Cap Dir Gr
KEI Industries Ltd,Industrials,883199742.0,901637889,3.0,277474,-29172.0,-9.51,/mutual-fund/holding-history/7993/729/,Sundaram Small Cap Dir Gr
KSB Ltd,Industrials,858138211.0,861730048,2.86,248570,-9066.0,-3.52,/mutual-fund/holding-history/7993/768/,Sundaram Small Cap Dir Gr
Can Fin Homes Ltd,Financial Services,849471627.0,857354459,2.85,1102494,,,/mutual-fund/holding-history/7993/234/,Sundaram Small Cap Dir Gr
ICICI Bank Ltd,Financial Services,782861732.55,772513493,2.57,775149,,,/mutual-fund/holding-history/7993/584/,Sundaram Small Cap Dir Gr
Cholamandalam Financial Holdings Ltd,Financial Services,771591938.0,728546705,2.42,700492,83834.0,13.59,/mutual-fund/holding-history/7993/1424/,Sundaram Small Cap Dir Gr
Ujjivan Financial Services Limited,,671466510.0,688838329,2.29,1219075,106877.0,9.61,/mutual-fund/holding-history/7993/2014/,Sundaram Small Cap Dir Gr
Radico Khaitan Ltd,Consumer Defensive,678750327.0,680844285,2.26,410580,-14420.0,-3.39,/mutual-fund/holding-history/7993/1090/,Sundaram Small Cap Dir Gr
Power Finance Corp Ltd,Financial Services,735339134.0,671457644,2.23,1754986,,,/mutual-fund/holding-history/7993/1026/,Sundaram Small Cap Dir Gr
Greenpanel Industries Ltd Ordinary Shares,Basic Materials,605567007.6,654311866,2.18,1528052,380188.0,33.12,/mutual-fund/holding-history/7993/170350/,Sundaram Small Cap Dir Gr
Safari Industries (India) Ltd,Consumer Cyclical,639878210.3,653713958,2.17,335006,,,/mutual-fund/holding-history/7993/2912/,Sundaram Small Cap Dir Gr
Cyient Ltd,Industrials,530566094.3,602415091,2.0,262702,-41106.0,-13.53,/mutual-fund/holding-history/7993/301/,Sundaram Small Cap Dir Gr
Brigade Enterprises Ltd,Real Estate,644545294.7,592846806,1.97,661106,-37674.0,-5.39,/mutual-fund/holding-history/7993/219/,Sundaram Small Cap Dir Gr
Westlife Foodworld Ltd,Consumer Cyclical,597895813.0,589880059,1.96,722140,,,/mutual-fund/holding-history/7993/2228/,Sundaram Small Cap Dir Gr
Equitas Small Finance Bank Ltd Ordinary Shares,Financial Services,564883196.1,560631958,1.86,5314047,,,/mutual-fund/holding-history/7993/325199/,Sundaram Small Cap Dir Gr
State Bank of India,Financial Services,516390773.25,541083143,1.8,842743,,,/mutual-fund/holding-history/7993/1193/,Sundaram Small Cap Dir Gr
Rategain Travel Technologies Ltd,Technology,545498153.5,517787488,1.72,711442,,,/mutual-fund/holding-history/7993/747240/,Sundaram Small Cap Dir Gr
J.B. Chemicals & Pharmaceuticals Ltd,Healthcare,528541606.0,506455394,1.68,311732,,,/mutual-fund/holding-history/7993/665/,Sundaram Small Cap Dir Gr
ICRA Ltd,Financial Services,474545208.6,491143493,1.63,85868,,,/mutual-fund/holding-history/7993/586/,Sundaram Small Cap Dir Gr
HDFC Bank Ltd,Financial Services,380868376.8,453689646,1.51,265432,-33985.0,-11.35,/mutual-fund/holding-history/7993/533/,Sundaram Small Cap Dir Gr
Coforge Ltd,Technology,439547126.85,444459673,1.48,70837,-11825.0,-14.31,/mutual-fund/holding-history/7993/942/,Sundaram Small Cap Dir Gr
PVR INOX Ltd,Communication Services,380323841.25,432545857,1.44,260719,-1912.0,-0.73,/mutual-fund/holding-history/7993/1087/,Sundaram Small Cap Dir Gr
Chalet Hotels Ltd,Consumer Cyclical,451226132.2,412464155,1.37,592238,,,/mutual-fund/holding-history/7993/127257/,Sundaram Small Cap Dir Gr
RHI Magnesita India Ltd,Industrials,358385435.1,400069136,1.33,496826,,,/mutual-fund/holding-history/7993/989/,Sundaram Small Cap Dir Gr
Birla Corp Ltd,Basic Materials,383354489.1,395896690,1.32,274747,,,/mutual-fund/holding-history/7993/198/,Sundaram Small Cap Dir Gr
Neogen Chemicals Ltd,Basic Materials,373041692.1,392996196,1.31,265529,,,/mutual-fund/holding-history/7993/141845/,Sundaram Small Cap Dir Gr
Firstsource Solutions Ltd,Technology,401009630.8,380526849,1.27,2058571,,,/mutual-fund/holding-history/7993/428/,Sundaram Small Cap Dir Gr
K.P.R. Mill Ltd,Consumer Cyclical,348148253.6,373264890,1.24,452552,,,/mutual-fund/holding-history/7993/764/,Sundaram Small Cap Dir Gr
Carborundum Universal Ltd,Industrials,383481246.5,371438034,1.23,333607,,,/mutual-fund/holding-history/7993/238/,Sundaram Small Cap Dir Gr
Procter & Gamble Health Ltd,Healthcare,393313354.7,368874554,1.23,74554,,,/mutual-fund/holding-history/7993/858/,Sundaram Small Cap Dir Gr
Bank of India,Financial Services,425669182.0,364489353,1.21,3237028,3237028.0,New,/mutual-fund/holding-history/7993/163/,Sundaram Small Cap Dir Gr
Affle India Ltd,Communication Services,339298092.45,363347877,1.21,278193,-24982.0,-8.24,/mutual-fund/holding-history/7993/154217/,Sundaram Small Cap Dir Gr
Birlasoft Ltd,Technology,407954084.25,359493177,1.2,498569,,,/mutual-fund/holding-history/7993/763/,Sundaram Small Cap Dir Gr
Bajaj Finance Ltd,Financial Services,341889546.0,353578593,1.18,48252,,,/mutual-fund/holding-history/7993/150/,Sundaram Small Cap Dir Gr
Sterling and Wilson Renewable Energy Ltd,Technology,471188752.0,352698160,1.17,815770,815770.0,New,/mutual-fund/holding-history/7993/155630/,Sundaram Small Cap Dir Gr
Gujarat State Petronet Ltd,Utilities,407825748.3,345548052,1.15,1129242,,,/mutual-fund/holding-history/7993/502/,Sundaram Small Cap Dir Gr
